cheese,url,milk,country,region,family,type,texture,rind,color,flavor,aroma,vegetarian,vegan,producers
Brusselae Kaas (Fromage de Bruxelles),https://www.cheese.com/brusselae-kaas-fromage-de-bruxelles/,cow,Belgium,Wisconsin,Brie,"soft, artisan",smooth,washed,pale yellow,"salty, sharp",strong,False,False,Sartori
Brutal Blue,https://www.cheese.com/brutal-blue/,cow,United States,Oregon,Blue,"semi-soft, artisan",creamy,natural,cream,"creamy, spicy, strong, woody",strong,True,False,Rogue Creamery
Bryndza,https://www.cheese.com/bryndza/,sheep,"Hungary, Poland, Slovakia",Wisconsin,Brie,"soft, artisan",spreadable,rindless,white,"mild, salty",rich,No,No,Sartori
Brânză de Burduf,https://www.cheese.com/branza-de-burduf/,sheep,Romania,Romanian Carpathians,Brie,"soft, artisan",creamy,natural,white,"salty, spicy",woody,False,False,Sartori
Buche de Chevre,https://www.cheese.com/buche-de-chevre/,goat,France,Wisconsin,Brie,"soft, soft-ripened",creamy,natural,white,sweet,rich,No,No,Sartori
Bucheret,https://www.cheese.com/bucheret/,goat,United States,California,Brie,"soft, artisan, soft-ripened","buttery, chalky, dense, smooth, soft-ripened",bloomy,white,"buttery, mushroomy, nutty, tangy",rich,True,False,Redwood Hill Farm & Creamery
Buchette d'Anjou,https://www.cheese.com/buchette-danjou/,goat,France,Loire,Brie,soft,"firm, grainy",artificial,ivory,"acidic, citrusy",aromatic,False,False,Various
Buchette de Manon,https://www.cheese.com/buchette-de-manon/,goat,France,Wisconsin,Brie,soft,creamy,natural,cream,mild,clean,False,False,Sartori
Bufala Soldier,https://www.cheese.com/bufala-soldier/,"cow, goat, water buffalo",United States,Colorado,Camembert,"soft, artisan, soft-ripened","buttery, creamy",bloomy,pale yellow,"acidic, buttery, creamy, earthy, sweet",rich,True,False,Haystack Mountain Creamery
Bufalino,https://www.cheese.com/bufalino/,buffalo,Italy,Wisconsin,Brie,soft,"creamy, soft",natural,white,"creamy, strong",buttery,No,No,Casa Madaio
Bufarolo,https://www.cheese.com/bufarolo/,water buffalo,Italy,Lombardy,Cottage,"fresh soft, artisan","chalky, crumbly",rindless,white,"mild, milky, subtle","fresh, mild, milky, pleasant",False,False,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola
Buff Blue,https://www.cheese.com/buff-blue/,buffalo,United States,Southern California,Blue,"firm, blue-veined",creamy,natural,blue,smokey,"earthy, smokey",No,No,Bleating Heart Cheese
Burgos,https://www.cheese.com/burgos/,"cow, sheep",Spain,Castille-Leon,Cottage,fresh soft,creamy,rindless,white,"mild, milky",fresh,False,False,Sartori
Burrata,https://www.cheese.com/burrata/,water buffalo,"Italy, United States",Apulia,Mozzarella,"fresh soft, artisan","creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",False,False,Sartori
Burwash Rose,https://www.cheese.com/burwash-rose/,cow,"England, Great Britain, United Kingdom","Stonegate, East Sussex",Pecorino,"semi-soft, artisan","creamy, springy",washed,cream,creamy,"aromatic, floral",True,False,Traditional Cheese Dairy
Burwood Bole,https://www.cheese.com/burwood-bole/,cow,"England, Great Britain, United Kingdom",Dorset,Cheddar,"semi-hard, artisan",firm,washed,pale yellow,"lemony, nutty, sweet",rich,True,False,James’s Cheese
Butte,https://www.cheese.com/butte/,cow,France,Wisconsin,Brie,"soft, soft-ripened",smooth,washed,yellow,"bitter, salty","rich, ripe",False,False,Sartori
Buttercup,https://www.cheese.com/buttercup/,"cow, goat",United States,Colorado,Monterey Jack,"semi-soft, artisan","creamy, firm, open",waxed,pale yellow,"buttery, creamy",rich,True,False,Haystack Mountain Creamery
Butterkase,https://www.cheese.com/butterkase/,cow,"Austria, Germany",Wisconsin,Cheddar,semi-soft,"creamy, smooth, spreadable",natural,pale yellow,"buttery, mild",rich,False,False,Sartori
Buttermilk Blue,https://www.cheese.com/buttermilk-blue/,cow,United States,Wisconsin,Blue,"semi-hard, blue-veined","creamy, crumbly",natural,pale yellow,"piquant, tangy",fresh,No,No,Emmi Roth USA
Buttermilk Blue Affinee,https://www.cheese.com/buttermilk-blue-affinee/,cow,United States,Wisconsin,Blue,"semi-soft, blue-veined",creamy,natural,ivory,"earthy, piquant, strong",rich,True,False,Emmi Roth USA
Buttermilk Gorgonzola,https://www.cheese.com/buttermilk-gorgonzola/,cow,United States,Wisconsin,Blue,"semi-soft, blue-veined",crumbly,natural,pale yellow,"piquant, spicy",rich,True,False,Emmi Roth USA
Butternut,https://www.cheese.com/butternut/,cow,United States,Vermont,Cheddar,"semi-hard, artisan","creamy, firm",natural,pale yellow,"buttery, nutty","earthy, mushroom",False,False,Willow Hill Farm
Buxton Blue,https://www.cheese.com/buxton-blue/,cow,"England, United Kingdom","Buxton, Derbyshire",Blue,"soft, artisan, blue-veined",crumbly,natural,yellow,tangy,rich,True,False,Sartori
Byaslag,https://www.cheese.com/byaslag/,yak,Mongolia,Wisconsin,Mozzarella,"fresh soft, artisan",firm,natural,pale yellow,"creamy, mild, salty",aromatic,No,No,Sartori
Bûchette à la Sarriette,https://www.cheese.com/buchette-la-sarriette/,goat,France,Wisconsin,Cheddar,"soft, processed",creamy,natural,white,creamy,rich,No,No,Sartori
Cabecou,https://www.cheese.com/cabecou/,goat,France,Midi-Pyrenees,Brie,"soft, artisan","creamy, smooth",leaf wrapped,white,"smooth, tangy",aromatic,False,False,Sartori
Cabecou Feuille D'Armagnac,https://www.cheese.com/cabecou-feuille-darmagnac/,goat,France,Wisconsin,Mozzarella,"fresh soft, artisan",smooth,natural,white,"fruity, spicy, tangy",aromatic,False,False,Sartori
Caboc,https://www.cheese.com/caboc/,cow,Scotland,Wisconsin,Brie,soft,"creamy, smooth",natural,white,"buttery, creamy","buttery, fresh",No,No,Highland Fine Cheeses Limited
Cabot Clothbound,https://www.cheese.com/cabot-clothbound/,cow,United States,Vermont,Cheddar,"hard, artisan","crumbly, flaky",natural,yellow,"nutty, savory, sweet, tangy",rich,False,False,"Cabot Creamery , Jasper Hill Farm"
Cabrales,https://www.cheese.com/cabrales/,cow,Spain,Wisconsin,Blue,"semi-hard, artisan, blue-veined","creamy, firm",natural,white,"acidic, salty, sharp",strong,No,No,Sartori
Cachaille,https://www.cheese.com/cachaille/,goat,France,Puimichel in Provence Alpes,Brie,soft,creamy,natural,white,creamy,rich,False,False,Sartori
Cacio De Roma®,https://www.cheese.com/cacio-de-roma/,sheep,Italy,Wisconsin,Pecorino,"semi-soft, artisan",semi firm,natural,ivory,mild,sweet,False,False,Sartori
Cacio di Bosco al Tartufo,https://www.cheese.com/cacio-di-bosco-al-tartufo/,"cow, sheep",Italy,Tuscany,Blue,"semi-firm, artisan","crumbly, firm",natural,ivory,"nutty, sour, sweet",strong,No,No,Cooperativa Agricola IL FORTETO
Caciobarricato,https://www.cheese.com/caciobarricato/,cow,Italy,Veneto,Pasta filata,semi-soft,"elastic, soft, stringy, supple",natural,ivory,"pronounced, sharp, tangy","clean, mild",False,False,La Casearia Carpenedo S.r.l.
Caciobirraio,https://www.cheese.com/caciobirraio/,cow,Italy,Veneto,Brie,soft,compact,natural,straw,"bitter, subtle","aromatic, toasty",False,False,La Casearia Carpenedo S.r.l.
Caciobufala,https://www.cheese.com/caciobufala/,water buffalo,Italy,Campania,Cheddar,semi-hard,compact,natural,ivory,sweet,"aromatic, buttery, pleasant",False,False,Casa Madaio
Caciocavallo,https://www.cheese.com/caciocavallo/,cow,Italy,Wisconsin,Pasta filata,semi-hard,"elastic, firm",natural,white,creamy,earthy,No,No,Sartori
Caciocavallo di Bufala,https://www.cheese.com/caciocavallo-di-bufala/,water buffalo,Italy,Wisconsin,Pasta filata,"semi-hard, artisan",smooth,natural,white,savory,earthy,No,No,Sartori
Caciocavallo Podolico Vetus,https://www.cheese.com/caciocavallo-podolico-vetus/,cow,Italy,Wisconsin,Pasta filata,soft,firm,natural,white,"buttery, sweet",earthy,No,No,Casa Madaio
Cacioradicchio,https://www.cheese.com/cacioradicchio/,Unknown,Italy,Veneto,Brie,soft,creamy,leaf wrapped,white,"bitter, herbaceous, subtle","aromatic, fresh",False,False,La Casearia Carpenedo S.r.l.
Caciotta,https://www.cheese.com/caciotta/,"cow, goat, sheep, water buffalo",Italy,Wisconsin,Pecorino,"semi-soft, artisan","compact, firm",natural,white,mild,rich,No,No,Sartori
Caciotta Al Tartufo,https://www.cheese.com/caciotta-al-tartufo/,"cow, sheep",Italy,"Umbria, Lazio",Caciotta,"semi-soft, artisan",firm,natural,ivory,"spicy, tangy",earthy,No,No,Sartori
Cacow Belle,https://www.cheese.com/cacow-belle/,cow,United States,Oregon,Cheddar,"semi-soft, artisan","creamy, smooth",natural,pale yellow,"savory, spicy, sweet","aromatic, spicy",True,False,Rogue Creamery
Caerphilly,https://www.cheese.com/caerphilly/,cow,"United Kingdom, Wales","Wales, London",Cheddar,hard,"crumbly, dense",natural,white,"citrusy, mild, tangy",fresh,No,No,Sartori
Cahill's Irish Porter Cheddar,https://www.cheese.com/cahills-irish-porter-cheddar/,cow,Ireland,Wisconsin,Cheddar,"semi-hard, artisan",firm,natural,brownish yellow,"full-flavored, tangy",rich,No,No,Cahills Farm Cheese
Cahill's Whiskey Cheese,https://www.cheese.com/cahills-whiskey-cheese/,cow,Ireland,Co Limerick,Cheddar,"semi-hard, artisan","creamy, soft",waxed,straw,"butterscotch, creamy","pecan, whiskey",No,No,Cahills Farm Cheese
Cairnsmore,https://www.cheese.com/cairnsmore/,sheep,Scotland,Wigtownshire,Cheddar,"hard, artisan","crumbly, open, smooth",natural,ivory,"burnt caramel, nutty, sweet",aromatic,True,False,Galloway Farmhouse Cheese
Calcagno,https://www.cheese.com/calcagno/,sheep,Italy,Sardinia & Campania,Pecorino,"hard, artisan","firm, flaky, smooth",natural,pale yellow,"herbaceous, savory, sweet",herbal,False,False,Casa Madaio
Calenzana (Calinzanincu),https://www.cheese.com/calenzana/,"goat, sheep",France,Upper Corsica,Pecorino,"semi-soft, artisan",creamy,natural,pale yellow,strong,rich,False,False,Sartori
California Crottin,https://www.cheese.com/california-crottin/,goat,United States,Wisconsin,Brie,"soft, artisan, soft-ripened","dense, firm",mold ripened,cream,"earthy, full-flavored, tangy",mushroom,No,No,Redwood Hill Farm & Creamery
cambazola,https://www.cheese.com/cambazola/,cow,Germany,Wisconsin,Blue,"soft, soft-ripened",creamy,natural,white,creamy,rich,True,False,Sartori
Cambozola Grand Noir,https://www.cheese.com/cambozola-grand-noir/,cow,Germany,Allgäu,Blue,"semi-soft, blue-veined",creamy,waxed,pale yellow,"sharp, sweet",aromatic,True,False,Käserei Champignon
Cambus o’May,https://www.cheese.com/cambus-omay/,cow,Scotland,Aberdeenshire,Cheddar,"semi-hard, artisan",creamy,cloth wrapped,cream,sharp,strong,No,No,The Cambus O’May Cheese Company
Camembert,https://www.cheese.com/camembert/,cow,France,Wisconsin,Camembert,"soft, artisan","smooth, soft-ripened",natural,pale yellow,sweet,"buttery, rich",No,No,Sartori
Camembert Calvados,https://www.cheese.com/camembert-calvados/,cow,France,Wisconsin,Cottage,"soft, semi-soft","creamy, smooth, springy",natural,yellow,savory,"aromatic, fruity",No,No,Sartori
Camembert de Normandie,https://www.cheese.com/camembert-de-normandie/,cow,France,Normandy,Camembert,"soft, soft-ripened",creamy,bloomy,pale yellow,creamy,rich,No,No,Sartori
Camembert de Portneuf,https://www.cheese.com/camembert-de-portneuf/,cow,Canada,Quebec,Camembert,"soft, soft-ripened","creamy, soft-ripened, supple",bloomy,pale yellow,"buttery, creamy",aromatic,No,No,Alexis de Portneuf
Camembert des Camarades,https://www.cheese.com/camembert-des-camarades/,cow,Canada,Quebec,Camembert,"soft, soft-ripened","creamy, soft, soft-ripened",bloomy,ivory,"buttery, nutty, subtle, sweet","aromatic, fresh",No,No,La Maison Alexis de Portneuf Inc.
Cameo,https://www.cheese.com/cameo/,goat,United States,California,Camembert,"semi-soft, artisan","buttery, creamy, soft",bloomy,white,"creamy, smooth","floral, goaty, herbal",No,No,Redwood Hill Farm & Creamery
Campfire,https://www.cheese.com/campfire/,cow,United States,Port Townsend,Monterey Jack,semi-hard,"compact, creamy, firm, open, supple",natural,ivory,"buttery, smokey , sweet",smokey,False,False,Mt. Townsend Creamery
Campi,https://www.cheese.com/campi/,water buffalo,Italy,Lombardy,Cheddar,"semi-hard, artisan","elastic, firm",natural,ivory,"spicy, sweet",strong,False,False,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola
Cana de Cabra,https://www.cheese.com/cana-de-cabra/,goat,Spain,Murcia,Brie,"semi-soft, soft-ripened",creamy,bloomy,ivory,"creamy, mild","mild, mushroom",No,No,Sartori
Canadian Cheddar,https://www.cheese.com/canadian-cheddar/,"cow, goat, sheep",Canada,Ontario,Cheddar,"hard, artisan, processed","crumbly, open",natural,yellow,"full-flavored, milky, salty, sharp","fresh, rich, strong",False,False,Balderson Cheese Company
Canarejal,https://www.cheese.com/canarejal/,sheep,Spain,Wisconsin,Brie,soft,"gooey, runny, smooth",natural,pale yellow,creamy,rich,No,No,Sartori
Canastra cheese,https://www.cheese.com/canastra-cheese/,cow,Brazil,"Serra da Canastra, Minas Gerais state",Brie,artisan,creamy,natural,yellow,spicy,aromatic,No,No,Sartori
Cancoillotte (Cancoyotte),https://www.cheese.com/cancoillotte-cancoyotte/,cow,France,Wisconsin,Brie,soft,creamy,natural,white,creamy,rich,False,False,Sartori
Canestrato,https://www.cheese.com/canestrato/,"goat, sheep",Italy,Moliterno,Cheddar,"hard, artisan","dense, flaky",natural,straw,full-flavored,"spicy, strong",No,No,Casa Madaio
Cantal,https://www.cheese.com/cantal/,cow,France,Wisconsin,Cheddar,"semi-hard, artisan",firm,natural,pale yellow,creamy,rich,No,No,Sartori
Cap Cressy,https://www.cheese.com/cap-cressy/,goat,"Canada, Italy",Lombardy,Blue,"semi-hard, artisan, smear-ripened","compact, dense",washed,pale yellow,"mellow, savory, sweet",lactic,No,No,Fifth Town Artisan Cheese
Cape Vessey,https://www.cheese.com/cape-vessey/,goat,Canada,"Prince Edward County, Ontario",Pecorino,"semi-soft, artisan","chewy, firm",washed,pale yellow,"acidic, creamy, subtle, sweet","goaty, rich, strong",No,No,Sartori
Capra al Fieno,https://www.cheese.com/capra-al-fieno/,goat,Italy,"Treviso, Veneto",Pecorino,"semi-soft, artisan",firm,natural,ivory,"strong, woody","floral, grassy",No,No,Moro Latteria di Moro Sergio
Capra al Pepe,https://www.cheese.com/capra-al-pepe/,goat,Italy,"Treviso, Veneto",Brie,"soft, artisan","creamy, soft",natural,pale yellow,"mild, spicy",spicy,No,No,Moro Latteria di Moro Sergio
Capra Nouveau,https://www.cheese.com/capra-nouveau/,goat,England,"Chelmarsh, Bridgnorth, Shropshire",Cheddar,semi-soft,"creamy, smooth",washed,ivory,"creamy, herbaceous, nutty, smooth, sweet","herbal, nutty, rich, sweet",No,No,Brock Hall Farm Dairy
Caprano,https://www.cheese.com/caprano/,goat,Canada,Quebec,Blue,"hard, semi-hard","crumbly, open, smooth",natural,pale yellow,pronounced,"goaty, strong",True,False,La Maison Alexis de Portneuf Inc.
Capraricca,https://www.cheese.com/capraricca/,goat,Italy,Veneto,Brie,"soft, artisan, soft-ripened","creamy, runny, supple",bloomy,white,sweet,"fresh, goaty",False,False,La Casearia Carpenedo S.r.l.
Caprese di Bufala,https://www.cheese.com/caprese-di-bufala/,water buffalo,Italy,Veneto,Brie,soft,"oily, smooth",natural,straw,"herbaceous, mild, subtle, vegetal","aromatic, fresh",False,False,La Casearia Carpenedo S.r.l.
Capri Blu,https://www.cheese.com/capri-blu/,goat,"Canada, Italy",Lombardy,Blue,"soft, blue-veined","creamy, soft",natural,pale yellow,"creamy, subtle, sweet",goaty,No,No,Fifth Town Artisan Cheese
Capriago,https://www.cheese.com/capriago/,goat,United States,"Sebastopol, California",Blue,"hard, artisan, brined",firm,washed,white,"nutty, sweet","nutty, spicy",No,No,Bohemian Creamery
Caprice,https://www.cheese.com/caprice/,goat,"Canada, Italy",Lombardy,Brie,soft,"creamy, smooth",natural,white,subtle,goaty,No,No,Fifth Town Artisan Cheese
Caprice des Dieux,https://www.cheese.com/caprice-des-dieux/,cow,France,Illoud (Haute-Marne),Brie,"soft, soft-ripened","creamy, smooth",bloomy,white,"buttery, nutty, smooth",fresh,True,False,Savencia Fromage & Dairy
Capricious,https://www.cheese.com/capricious/,goat,United States,"Petaluma, California",Cheddar,"hard, artisan",creamy,mold ripened,ivory,"caramel, nutty",nutty,No,No,Achadinha Cheese Company
Capricorn Somerset Goats Cheese,https://www.cheese.com/capricorn-somerset-goats-cheese/,goat,England,Somerset,Brie,"soft, artisan","creamy, crumbly, firm, smooth",bloomy,white,nutty,rich,True,False,Lactalis McLelland Ltd
Capriny,https://www.cheese.com/capriny/,goat,Canada,Quebec,Brie,soft,creamy,rindless,white,"creamy, mild, sharp, sour",goaty,No,No,La Maison Alexis de Portneuf Inc.
Capriole Banon,https://www.cheese.com/capriole-banon/,goat,United States,"Greenville, Indiana",Brie,"soft, artisan","creamy, dense",leaf wrapped,pale yellow,"citrusy, strong, sweet","aromatic, fresh, goaty",False,False,Capriole Goat Cheese
Caprotto,https://www.cheese.com/caprotto/,goat,Italy,Campania,Cheddar,"hard, artisan",compact,natural,straw,"sharp, spicy","floral, strong",False,False,Casa Madaio
Carabiner,https://www.cheese.com/carabiner/,cow,United States,California,Cheddar,"semi-hard, artisan","dense, firm",natural,yellow,"nutty, salty, sweet",earthy,True,False,Weirauch Farm and Creamery
Caravane,https://www.cheese.com/caravane/,camel,Mauritania,Wisconsin,Brie,"soft, artisan",creamy,bloomy,white,"salty, sweet",rich,True,False,Tiviski
Carboncino,https://www.cheese.com/carboncino/,"cow, goat, sheep",Italy,Wisconsin,Cottage,fresh soft,"creamy, gooey, runny, soft",natural,white,creamy,rich,No,No,Sartori
Cardo,https://www.cheese.com/cardo/,goat,"England, Scotland, Wales","Timsbury, Somerset",Pecorino,"semi-soft, artisan","firm, open, runny",washed,ivory,"floral, pungent, savory",pungent,True,False,Sartori
Carlina,https://www.cheese.com/carlina/,cow,Italy,Veneto,Mozzarella,"fresh soft, artisan",creamy,bloomy,white,subtle,fresh,False,False,La Casearia Carpenedo S.r.l.
Carlow,https://www.cheese.com/carlow/,cow,Ireland,County Carlow,Cheddar,"semi-hard, artisan","firm, smooth",waxed,golden yellow,"mild, savory, spicy",rich,No,No,Elizabeth Bradley @ Carlow Cheese
Carmody,https://www.cheese.com/carmody/,cow,United States,California,Gorgonzola,"semi-hard, artisan",firm,natural,cream,"buttery, caramel, sweet",fresh,True,False,Bellwether Farms
Carnia Altobut,https://www.cheese.com/carnia-altobut/,cow,Italy,Carnia,Cheddar,"hard, artisan","compact, elastic, firm, open",natural,pale yellow,"pronounced, strong, subtle","aromatic, floral",False,False,La Casearia Carpenedo S.r.l.
Caronzola,https://www.cheese.com/caronzola/,cow,Canada,Quebec,Blue,"soft, blue-veined",creamy,bloomy,ivory,mild,rich,No,No,La Maison Alexis de Portneuf Inc.
Carr Valley Glacier Wildfire Blue,https://www.cheese.com/carr-valley-glacier-wildfire-blue/,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined","creamy, crumbly, soft",rindless,ivory,creamy,clean,No,No,Carr Valley Cheese Company
Carre de l'Est,https://www.cheese.com/carre-de-lest/,cow,France,Wisconsin,Brie,soft,smooth,washed,pale yellow,smokey,rich,No,No,Sartori
Carrick,https://www.cheese.com/carrick/,cow,Scotland,Wisconsin,Blue,"hard, organic",creamy,edible,cream,citrusy,earthy,True,False,The Ethical Dairy
Carrot Rebel,https://www.cheese.com/carrot-rebel/,cow,Austria,Sulzberg,Cheddar,"semi-hard, artisan",creamy,natural,orange,"creamy, fruity, nutty, sweet","aromatic, fruity, sweet",No,No,Sulzberger Käserebellen Sennerei GmbH
Carrowholly,https://www.cheese.com/carrowholly/,cow,Ireland,Co. Mayo,Gouda,"hard, artisan","crumbly, crystalline, firm, smooth",waxed,yellow,"acidic, crunchy, fruity, herbaceous, mild, spicy",rich,True,False,Carrowholly Cheese
Casatica,https://www.cheese.com/casatica/,water buffalo,Italy,Lombardy,Brie,"semi-soft, artisan, soft-ripened","creamy, soft-ripened",bloomy,white,"creamy, subtle","aromatic, milky, pleasant, rich",False,False,Sartori
Casciotta di Urbino,https://www.cheese.com/casciotta-di-urbino/,"cow, sheep",Italy,Pesaro-Urbino,Caciotta,"semi-soft, artisan","creamy, crumbly, open",waxed,straw,"acidic, milky, nutty","grassy, pleasant",False,False,Caseificio Val D’Apsa
Cashel Blue,https://www.cheese.com/cashel-blue/,cow,Ireland,Wisconsin,Blue,"semi-soft, blue-veined",creamy,natural,blue,tangy,sweet,True,False,J&L Grubb Ltd.
Cashew Nut Cream Cheese,https://www.cheese.com/cashew-nut-cream-cheese/,Unknown,United States,Brooklyn NY,Brie,"soft, artisan","creamy, smooth, soft, spreadable",natural,white,"creamy, nutty, sweet","clean, fresh, nutty",True,False,Dr. Cow Tree Nut Cheese
Castelmagno,https://www.cheese.com/castelmagno/,"cow, goat, sheep",Italy,Piedmont,Blue,semi-hard,"crumbly, dense, grainy",washed,ivory,"sharp, spicy, strong",strong,False,False,Sartori
Castelo Branco,https://www.cheese.com/castelo-branco/,"goat, sheep",Portugal,"Castelo Branco, Fundão and Idanha-a-Nova",Pecorino,"semi-soft, artisan","brittle, creamy, crumbly, firm, smooth",natural,pale yellow,"sour, spicy, tangy",aromatic,True,False,Sartori
Castigliano,https://www.cheese.com/castigliano/,"cow, goat, sheep",Spain,Castile-Leon,Gouda,hard,firm,natural,yellow,"acidic, salty, spicy",rich,False,False,Sartori
Castillon Frais,https://www.cheese.com/castillon-frais/,sheep,France,Wisconsin,Cottage,fresh soft,"creamy, open",rindless,white,"citrusy, creamy, floral, herbaceous","clean, floral, fresh",False,False,David and Fanette Ladu
Castle Blue,https://www.cheese.com/castle-blue/,cow,Canada,British Columbia,Brie,"semi-soft, blue-veined, soft-ripened","buttery, creamy",natural,cream,"creamy, piquant, sweet","earthy, rich",False,False,The Farm House Natural Cheeses
Casu marzu,https://www.cheese.com/casu-marzu/,sheep,"France, Italy","Sardinia (Italy), Southern Corsica (France)",Brie,"soft, soft-ripened",soft-ripened,natural,white,creamy,rich,No,No,Sartori
Cathelain,https://www.cheese.com/cathelain/,cow,France,Wisconsin,Brie,soft,smooth,natural,white,sour,rich,False,False,Sartori
Catupiry,https://www.cheese.com/catupiry/,cow,Brazil,Wisconsin,Cheddar,"soft, processed","creamy, spreadable",natural,white,"creamy, mild, milky","fresh, milky",False,False,Sartori
Cave Aged Marisa,https://www.cheese.com/cave-aged-marisa/,sheep,United States,Wisconsin,Cheddar,"semi-hard, artisan",firm,natural,pale yellow,"sweet, tangy",sweet,No,No,Carr Valley Cheese Company
Cave Rebel,https://www.cheese.com/cave-rebel/,cow,Austria,Sulzberg,Cheddar,"hard, artisan","compact, crumbly, firm, open",natural,pale yellow,"creamy, grassy","aromatic, nutty",No,No,Sulzberger Käserebellen Sennerei GmbH
Caveman Blue,https://www.cheese.com/caveman-blue/,cow,United States,Oregon,Blue,"semi-hard, blue-veined","creamy, dense",natural,pale yellow,"buttery, mushroomy",fresh,True,False,Rogue Creamery
Caws Cenarth Black Sheep,https://www.cheese.com/caws-cenarth-black-sheep/,sheep,Wales,Wisconsin,Cheddar,semi-hard,buttery,natural,cream,creamy,rich,No,No,Sartori
Caws Penhelyg Abaty,https://www.cheese.com/caws-penhelyg-abaty/,cow,Wales,Wisconsin,Brie,soft,gooey,natural,white,creamy,rich,No,No,Sartori
Cayuga Blue,https://www.cheese.com/cayuga-blue/,goat,United States,NY,Blue,"semi-hard, blue-veined",compact,bloomy,ivory,creamy,"mild, rich",True,False,Lively Run Goat Dairy
Cello Thick & Smooth Mascarpone,https://www.cheese.com/cello-thick-smooth-mascarpone/,cow,United States,Wisconsin,Blue,"fresh soft, processed","buttery, creamy, firm, smooth",rindless,white,"creamy, milky, sweet","fresh, milky",No,No,Schuman Cheese
Celtic Promise,https://www.cheese.com/celtic-promise/,cow,United Kingdom,Ceredigion,Pecorino,"semi-soft, artisan",creamy,washed,yellow,full-flavored,pungent,True,False,Teifi Farmhouse Cheese
Cendre d'Olivet,https://www.cheese.com/cendre-dolivet/,cow,France,Centre-Val de Loire,Brie,"soft, artisan","smooth, supple",natural,ivory,"mild, smooth","earthy, pungent",False,False,Sartori
Cendré des Prés,https://www.cheese.com/cendre-des-pres/,cow,Canada,Quebec,Brie,"soft, artisan, soft-ripened","buttery, creamy, soft",bloomy,ivory,"acidic, buttery, creamy, fruity, mushroomy","aromatic, buttery, floral, lactic, mushroom, woody",No,No,Fromagerie Domaine Féodal inc.
Cerney Pyramid,https://www.cheese.com/cerney-pyramid/,goat,"England, Great Britain, United Kingdom",Cotswolds,Mozzarella,"fresh soft, artisan",creamy,natural,white,"citrusy, lemony, mild, sweet",rich,True,False,Sartori
Chabichou du Poitou,https://www.cheese.com/chabichou-du-poitou/,goat,France,Wisconsin,Pecorino,"semi-soft, artisan",creamy,natural,white,"salty, sweet, tangy",goaty,No,No,Sartori
Chabis de Gatine,https://www.cheese.com/chabis-de-gatine/,goat,France,Poitou-Charentes,Brie,"soft, artisan","firm, smooth",natural,white,"salty, sharp",goaty,False,False,Sartori
Challerhocker,https://www.cheese.com/challerhocker/,cow,Switzerland,"St. Gallen (canton), Tufertschwil",Swiss Cheese,hard,"creamy, dense, smooth",washed,pale yellow,"caramel, nutty, salty, sweet","nutty, sweet",No,No,Käserei Tufertschwil
Champignon de Luxe Garlic,https://www.cheese.com/champignon-de-luxe-garlic/,cow,Germany,Allgäu,Brie,"soft, soft-ripened",creamy,natural,cream,"garlicky, herbaceous","herbal, spicy",True,False,Käserei Champignon
Champignon de Luxe Pepper,https://www.cheese.com/champignon-de-luxe-pepper/,cow,Germany,Allgäu,Brie,"soft, soft-ripened",creamy,natural,cream,"creamy, sharp",spicy,True,False,Käserei Champignon
Champignon Mushrooom,https://www.cheese.com/champignon-mushrooom/,cow,Germany,Allgäu,Brie,"soft, soft-ripened",creamy,natural,cream,"creamy, mushroomy","fresh, mild",True,False,Käserei Champignon
Chaource,https://www.cheese.com/chaource/,cow,France,Wisconsin,Brie,"soft, soft-ripened","creamy, runny",natural,cream,creamy,rich,No,No,Sartori
Chapman's Pasture,https://www.cheese.com/chapmans-pasture/,cow,United States,Vermont,Parmesan,semi-hard,grainy,washed,ivory,"sharp, sweet","strong, sweet",False,False,Parish Hill Creamery
Charolais,https://www.cheese.com/charolais/,goat,France,Bourgogne,Cheddar,semi-soft,firm,natural,white,"acidic, salty, sweet",subtle,False,False,Sartori
Chaumes,https://www.cheese.com/chaumes/,cow,France,St Antoine,Blue,"soft, semi-soft, soft-ripened","creamy, smooth, springy, supple",washed,pale yellow,"full-flavored, nutty","aromatic, strong",False,False,Sartori
Chavroux,https://www.cheese.com/chavroux/,goat,France,Wisconsin,Brie,soft,"creamy, spreadable",natural,white,"creamy, mild","fresh, goaty",No,No,Sartori
Checkerboard Cheddar,https://www.cheese.com/checkerboard-cheddar/,cow,United States,NY,Cheddar,"semi-hard, artisan",crumbly,natural,pale yellow,"sharp, sweet, tangy",pleasant,No,No,Muranda Cheese Company
Cheddar,https://www.cheese.com/cheddar/,cow,England,Wisconsin,Cheddar,hard,compact,natural,pale yellow,"creamy, sharp",rich,No,No,Sartori
Cheddar LaDiDa Lavender,https://www.cheese.com/cheddar-ladida-lavender/,cow,United States,Oregon,Cheddar,"semi-hard, artisan","creamy, smooth",natural,white,"herbaceous, savory, subtle",earthy,True,False,Rogue Creamery
